,,,,,,0 K,298.15 K (25 °C) and 0.1 Mpa (1 bar),,,,,
K2C2O4,in 500 H2O,,,,166.2240,-,-1328.67,-,-,-,-,
K2C2O4,in 800 H2O,,,,166.2240,-,-1328.71,-,-,-,-,
K2C2O4,in 1000 H2O,,,,166.2240,-,-1328.71,-,-,-,-,
K2C2O4,in 1500 H2O,,,,166.2240,-,-1328.75,-,-,-,-,
K2C2O4,in 2000 H2O,,,,166.2240,-,-1328.84,-,-,-,-,
K2C2O4,in 2500 H2O,,,,166.2240,-,-1328.88,-,-,-,-,
K2C2O4,in 3000 H2O,,,,166.2240,-,-1328.96,-,-,-,-,
K2C2O4,in 4000 H2O,,,,166.2240,-,-1329.05,-,-,-,-,
K2C2O4,in 5000 H2O,,,,166.2240,-,-1329.13,-,-,-,-,
K2C2O4,in 7500 H2O,,,,166.2240,-,-1329.21,-,-,-,-,
K2C2O4,in 10000 H2O,,,,166.2240,-,-1329.30,-,-,-,-,
K2C2O4,in 20000 H2O,,,,166.2240,-,-1329.47,-,-,-,-,
K2C2O4,in 25000 H2O,,,,166.2240,-,-1329.51,-,-,-,-,
K2C2O4,in 50000 H2O,,,,166.2240,-,-1329.55,-,-,-,-,
K2C2O4,in 100000 H2O,,,,166.2240,-,-1329.63,-,-,-,-,
K2C2O4,in 200000 H2O,,,,166.2240,-,-1329.72,-,-,-,-,
K2C2O4·H2O,,,,cr,184.2394,-,-1644.7,-,-,-,-,
7K2CO3·2CO2·9.5H2O,,,,cr,1226.6601,-,-11898.0,-,-,-,-,
HCOOK,,formate,,cr,84.1200,-,-679.73,-,-,-,-,
HCOOK,,,,ai,84.1200,-,-677.93,-634.2,-,192.,-66.1,
HCOOK,in 200 H2O,,,,84.1200,-,-677.64,-,-,-,-,
HCOOK,in 400 H2O,,,,84.1200,-,-677.64,-,-,-,-,
KHCO3,,,G-H-S constraint has been relaxed; see Introduction.,cr,100.1194,-,-963.2,-863.5,-,115.5,-,
KHCO3,,from HCO3<sup>-</sup>,,ai,100.1194,-,-944.37,-870.04,-,193.7,-,
KHCO3,in 200 H2O,,,,100.1194,-,-942.2,-,-,-,-,
KHCO3,in 400 H2O,,,,100.1194,-,-942.2,-,-,-,-,
KHCO3,in 1000 H2O,,,,100.1194,-,-942.7,-,-,-,-,
KHCO3,in 2000 H2O,,,,100.1194,-,-943.1,-,-,-,-,
CH3OK,in 60 CH3OH,,,,70.1366,-,-452.3,-,-,-,-,
KHC2O4,,from HC2O4<sup>-</sup>,,ai,128.1300,-,-1070.7,-981.61,-,251.9,-,
KHC2O4,in 500 H2O,,,,128.1300,-,-1070.69,-,-,-,-,
CH3COOK,,acetate,,cr,98.1472,-,-723.0,-,-,-,-,
CH3COOK,,,,ai,98.1472,-,-738.39,-652.58,-,189.1,15.5,
CH3COOK,in 4.5 H2O,,,,98.1472,-,-729.355,-,-,-,-,
CH3COOK,in 5 H2O,,,,98.1472,-,-730.234,-,-,-,-,
CH3COOK,in 5.5 H2O,,,,98.1472,-,-730.869,-,-,-,-,
CH3COOK,in 6 H2O,,,,98.1472,-,-731.405,-,-,-,-,
CH3COOK,in 7 H2O,,,,98.1472,-,-732.242,-,-,-,-,
CH3COOK,in 8 H2O,,,,98.1472,-,-732.869,-,-,-,-,
CH3COOK,in 9 H2O,,,,98.1472,-,-733.321,-,-,-,-,
CH3COOK,in 10 H2O,,,,98.1472,-,-733.706,-,-,-,-,
CH3COOK,in 12 H2O,,,,98.1472,-,-734.250,-,-,-,-,
CH3COOK,in 15 H2O,,,,98.1472,-,-734.752,-,-,-,-,
CH3COOK,in 20 H2O,,,,98.1472,-,-735.330,-,-,-,-,
CH3COOK,in 25 H2O,,,,98.1472,-,-735.685,-,-,-,-,
CH3COOK,in 30 H2O,,,,98.1472,-,-735.907,-,-,-,-,
CH3COOK,in 40 H2O,,,,98.1472,-,-736.233,-,-,-,-,
CH3COOK,in 50 H2O,,,,98.1472,-,-736.468,-,-,-,-,
CH3COOK,in 75 H2O,,,,98.1472,-,-736.836,-,-,-,-,
CH3COOK,in 100 H2O,,,,98.1472,-,-737.045,-,-,-,-,
CH3COOK,in 150 H2O,,,,98.1472,-,-737.284,-,-,-,-,
CH3COOK,in 200 H2O,,,,98.1472,-,-737.422,-,-,-,-,
CH3COOK,in 300 H2O,,,,98.1472,-,-737.597,-,-,-,-,
CH3COOK,in 400 H2O,,,,98.1472,-,-737.702,-,-,-,-,
CH3COOK,in 500 H2O,,,,98.1472,-,-737.773,-,-,-,-,
CH3COOK,in 600 H2O,,,,98.1472,-,-737.823,-,-,-,-,
CH3COOK,in 800 H2O,,,,98.1472,-,-737.894,-,-,-,-,
CH3COOK,in 1000 H2O,,,,98.1472,-,-737.945,-,-,-,-,
CH3COOK,in 1500 H2O,,,,98.1472,-,-738.028,-,-,-,-,
CH3COOK,in 2000 H2O,,,,98.1472,-,-738.074,-,-,-,-,
CH3COOK,in 3000 H2O,,,,98.1472,-,-738.129,-,-,-,-,
CH3COOK,in 5000 H2O,,,,98.1472,-,-738.187,-,-,-,-,
CH3COOK,in 10000 H2O,,,,98.1472,-,-738.246,-,-,-,-,
CH3COOK,in 20000 H2O,,,,98.1472,-,-738.288,-,-,-,-,
CH3COOK,in 50000 H2O,,,,98.1472,-,-738.325,-,-,-,-,
CH3COOK,in C2H5OH:u,,,,98.1472,-,-713.71,-,-,-,-,
CH3COOK,in CH3COOH in 900 H2O*,,,,98.1472,-,-753.0*,-,-,-,-,
CH2OHCOOK,,glycolate,,cr,114.1466,-,-907.9,-,-,-,-,
CH2OHCOOK,,,,ai,114.1466,-,-903.7,-,-,-,-,
CH2OHCOOK,in 200 H2O,,,,114.1466,-,-902.9,-,-,-,-,
CH2OHCOOK,in 1200 H2O,,,,114.1466,-,-903.3,-,-,-,-,
CH2OHCOOK·0.5H2O,,,,cr,123.1543,-,-1064.4,-,-,-,-,
C2H5OK,,ethylate,,cr,84.1638,-,-412.1,-,-,-,-,
C2H5OK,in 60 C2H5OH in ethanol,,,,84.1638,-,-486.2,-,-,-,-,
KHC2O4·H2C2O4,,,,cr,218.1660,-,-1951.0,-,-,-,-,
KHC2O4·H2C2O4·2H2O,,,,cr,254.1968,-,-2533.0,-,-,-,-,
C2H5OK·C2H5OH,,,,cr,130.2336,-,-725.9,-,-,-,-,
CCl3COOK,,trichloroacetate,,ai,201.4822,-,-768.6,-,-,-,-,
CCl3COOK,in 400 H2O,,,,201.4822,-,-767.8,-,-,-,-,
ClCH2COOK,,chloroacetate,,ai,132.5922,-,-753.66,-,-,-,-,
Cl2CHCOOK,,dichloroacetate,,ai,167.0372,-,-764.4,-,-,-,-,
C2H2O2·2KHSO3,,glyoxal bisulfite,,cr,298.3816,-,-2219.,-,-,-,-,
C2H2O2·2KHSO3,in 800 H2O,,,,298.3816,-,-2164.4,-,-,-,-,
KCN,,,,cr,65.1199,-117.880,-113.0,-101.86,17.393,128.49,66.27,
KCN,,,,g,65.1199,89.931,90.8,64.17,13.339,261.90,52.34,
KCN,,,,ai,65.1199,-,-101.7,-110.9,-,196.6,-,
KCN,in 200 H2O,,,,65.1199,-,-101.3,-,-,-,-,
KCNO,cyanate,,,cr,81.1193,-,-418.65,-,-,-,-,
KCNO,,,,ai,81.1193,-,-398.3,-380.7,-,209.2,-,
KCNO,in 200 H2O,,,,81.1193,-,-398.27,-,-,-,-,
KCNO,in 5500 H2O,,,,81.1193,-,-398.27,-,-,-,-,
CONH2COOK,,oxamate,,cr,127.1453,-,-922.2,-,-,-,-,
CONH2COOK,in 1000 H2O,,,,127.1453,-,-892.4,-,-,-,-,
CH2NH2COOK,,glycinate,,ai,113.1619,-,-722.16,-598.11,-,221.8,-,
KCNS,,thiocyanate,,cr,97.1839,-200.748,-200.16,-178.31,17.472,124.26,88.53,
KCNS,,,,ai,97.1839,-,-175.94,-190.56,-,246.9,-18.4,
KCNS,in 2 H2O,,,,97.1839,-,-186.983,-,-,-,-,
KCNS,in 2.5 H2O,,,,97.1839,-,-186.439,-,-,-,-,
KCNS,in 3 H2O,,,,97.1839,-,-185.937,-,-,-,-,
KCNS,in 4 H2O,,,,97.1839,-,-185.016,-,-,-,-,
KCNS,in 4.5 H2O,,,,97.1839,-,-184.565,-,-,-,-,
KCNS,in 5 H2O,,,,97.1839,-,-184.138,-,-,-,-,
KCNS,in 6 H2O,,,,97.1839,-,-183.427,-,-,-,-,
KCNS,in 7 H2O,,,,97.1839,-,-182.791,-,-,-,-,
KCNS,in 8 H2O,,,,97.1839,-,-182.297,-,-,-,-,
KCNS,in 9 H2O,,,,97.1839,-,-181.828,-,-,-,-,
KCNS,in 10 H2O,,,,97.1839,-,-181.418,-,-,-,-,
KCNS,in 12 H2O,,,,97.1839,-,-180.728,-,-,-,-,
KCNS,in 15 H2O,,,,97.1839,-,-179.975,-,-,-,-,
KCNS,in 20 H2O,,,,97.1839,-,-179.096,-,-,-,-,
KCNS,in 25 H2O,,,,97.1839,-,-178.494,-,-,-,-,
KCNS,in 30 H2O,,,,97.1839,-,-178.058,-,-,-,-,
KCNS,in 40 H2O,,,,97.1839,-,-177.477,-,-,-,-,
KCNS,in 50 H2O,,,,97.1839,-,-177.109,-,-,-,-,
KCNS,in 75 H2O,,,,97.1839,-,-176.582,-,-,-,-,
KCNS,in 100 H2O,,,,97.1839,-,-176.310,-,-,-,-,
KCNS,in 150 H2O,,,,97.1839,-,-176.038,-,-,-,-,
KCNS,in 200 H2O,,,,97.1839,-,-175.908,-,-,-,-,
KCNS,in 300 H2O,,,,97.1839,-,-175.791,-,-,-,-,
KCNS,in 400 H2O,,,,97.1839,-,-175.741,-,-,-,-,
KCNS,in 500 H2O,,,,97.1839,-,-175.720,-,-,-,-,
KCNS,in 1000 H2O,,,,97.1839,-,-175.703,-,-,-,-,
KCNS,in 1500 H2O,,,,97.1839,-,-175.720,-,-,-,-,
KCNS,in 2000 H2O,,,,97.1839,-,-175.732,-,-,-,-,
KCNS,in 3000 H2O,,,,97.1839,-,-175.749,-,-,-,-,
KCNS,in 5000 H2O,,,,97.1839,-,-175.778,-,-,-,-,
KCNS,in 10000 H2O,,,,97.1839,-,-175.816,-,-,-,-,
KCNS,in 20000 H2O,,,,97.1839,-,-175.845,-,-,-,-,
KCNS,in 50000 H2O,,,,97.1839,-,-175.879,-,-,-,-,
KCNS,in HCONH2:s in formamide,,,,97.1839,-,-203.09,-,-,-,-,
KCNS,in HCONHCH3:s in N-methylformamide,,,,97.1839,-,-204.35,-,-,-,-,
KCNS,"in HCON(CH3)2:s in N,N-dimethylformamide",,,,97.1839,-,-224.85,-,-,-,-,
KCNS,"in CH3CON(CH3)2:s in N,N-dimethylacetamide",,,,97.1839,-,-219.37,-,-,-,-,
KCNS,in (C4H9O)3PO:s in tributyl phosphate,,,,97.1839,-,-206.3,-,-,-,-,
KCNS·0.5SO2,,,,cr,129.2153,-,-372.4,-330.1,-,174.1,-,
KCNS·2SO2,,,,cr,225.3095,-,-876.5,-777.7,-,339.,-,
K2SiO3,,,,cr,154.2882,-,-,-,21.88,146.0,118.4,
K2Si2O5,,,,cr,214.3730,-,-,-,28.819,190.58,160.71,
K2SiF6,,,,cr,220.2804,-,-2956.0,-2798.6,-,225.9,-,
K2SiF6,,,,ai,220.2804,-,-2893.7,-2765.9,-,327.2,-,
K2GeF6,,,,cr,264.7844,-,-,-2438.3,-,-,-,
KSnCl3,,,,ai,264.1510,-,-739.3,-713.3,-,364.,-,
K2SnCl6,,,,cr,409.6120,-,-1477.0,-1332.9,-,366.52,246.02,
K2SnCl6,in 400 H2O,,,,409.6120,-,-1464.8,-,-,-,-,
K2SnCl6·H2O,,,,cr,427.6274,-,-1806.2,-,-,-,-,
K2SnOCl4,,,,cr,354.7054,-,-1476.,-,-,-,-,
KSnBr3,,,,ai,397.5190,-,-627.2,-630.1,-,356.,-,
K2SnBr6,,,,cr,676.3480,-,-1218.0,-1160.2,-,443.1,246.02,
KPbCl3·1/3H2O,,,,cr,358.6561,-,-900.8,-812.9,-,247.,-,
KCl·2PbCl2,,,,cr,630.7470,-,-1170.3,-1054.3,-,364.,-,
KPbBr3,,,,ai,486.0190,-,-,-626.3,-,-,-,
KPbI3,,,,ai,627.0052,-,-,-482.0,-,-,-,
K2PbI4,,,,cr,793.0116,-,-833.5,-,-,-,-,
K2PbI4,,,,ai,793.0116,-,-,-821.3,-,-,-,
K2PbI4·2H2O,,,,cr,829.0424,-,-1420.5,-,-,-,-,
4KI·3PbI2,,,,cr,2047.0220,-,-1831.3,-,-,-,-,
4KI·3PbI2·6H2O,,,,cr,2155.1144,-,-3599.9,-,-,-,-,
K2Pb(SO4)2,,,,cr,477.5172,-,-2379.9,-2152.5,-,315.1,-,
KBO2,,,,cr,81.9118,-976.71,-981.6,-923.4,12.113,80.00,66.73,
KBO2,,,,g,81.9118,-,-469.,-,-,-,-,
KBO2,,,,ai,81.9118,-,-1024.75,-962.16,-,65.3,-,
KB5O8·4H2O,,,,cr,293.2138,-,-,-,54.844,364.43,330.49,
K2O·B2O3,,,,cr,163.8236,-1953.43,-1963.1,-1846.8,24.225,160.00,133.47,
K2B4O7·4H2O,,,,cr,305.5054,-,-,-4134.7,-,-,-,
K2O·3B2O3,,,,cr,303.0640,-,-4658.9,-,-,-,-,
K2O·4B2O3,,,,cr,372.6842,-,-5975.2,-,-,-,-,
K2O·4B2O3,,,,vit,372.6842,-,-5902.8,-,-,-,-,
KBH4,,,,cr,53.9450,-218.61,-227.40,-160.27,16.472,106.27,96.06,
KBH4,,,,ai,53.9450,-,-204.22,-168.93,-,213.0,-,
KB(OH)4,,from B(OH)4<sup>-</sup>,,ai,117.9426,-,-1596.41,-1436.45,-,205.,-,
KBF4,,,,cr,125.9066,-1877.28,-1882.0,-1785.7,21.280,152.30,110.58,
KBF4,,,,ai,125.9066,-,-1827.2,-1770.2,-,285.,-,
KBF3OH,,,,cr,123.9156,-,-1810.84,-,-,-,-,
KBF3OH,,from BF3OH<sup>-</sup>,,ai,123.9156,-,-1779.5,-1697.8,-,268.,-,
KBF3OH,in 400 H2O,,,,123.9156,-,-1780.3,-,-,-,-,
K2B3F4O3OH,,,,cr,251.6362,-,-3736.7,-,-,-,-,
K2B3F4O3OH,in 800 H2O,,,,251.6362,-,-3661.0,-,-,-,-,
KBCl4,,,,cr,191.7250,-,-910.9,-,-,-,-,
KAlH4,,,,cr,70.1155,-,-183.7,-,-,-,-,
K3AlF6,,,,cr,258.2779,-,-3358.1,-,-,-,-,
K3AlF6,,,,aq,258.2779,-,-3315.0,-,-,-,-,
K3AlF6·3.5H2O,,,,cr,321.3318,-,-4427.1,-,-,-,-,
KAlCl4,,,,cr,207.8955,-,-1193.3,-,-,-,-,
K3AlCl6,,,,cr,357.0055,-,-2081.5,-,-,-,-,
K3Al2Cl9,,,,cr,490.3460,-,-2836.8,-,-,-,-,
KAlBr4,,,,cr,385.7195,-,-969.0,-,-,-,-,
KAl2Br7,,,,cr,652.4280,-,-1469.4,-,-,-,-,
KBr·AlCl3,,,,cr,252.3515,-,-1141.4,-,-,-,-,
KCl·AlBr3,,,,cr,341.2635,-,-1005.8,-,-,-,-,
KCl·2AlBr3,,,,cr,607.9720,-,-1525.1,-,-,-,-,
KAl(SO4)2,,,,cr,258.2067,-,-2470.2,-2240.0,-,204.6,192.97,
KAl(SO4)2,,"from Al<sup>3+</sup>, SO4<sup>2-</sup>",,ai,258.2067,-,-2602.,-2259.,-,-179.1,-,
KAl(SO4)2·3H2O,,,,cr,312.2529,-,-3381.1,-2974.5,-,314.,-,
KAl(SO4)2·12H2O,,,,cr,474.3915,-,-6061.8,-5141.0,-,687.4,651.03,
KAl(SeO4)2,,,,cr,351.9987,-,-1859.8,-,-,-,-,
KAl(SeO4)2,in 1600 H2O,,,,351.9987,-,-1982.8,-,-,-,-,
KAl(SeO4)2·12H2O,,,,cr,568.1835,-,-5441.3,-,-,-,-,
K2Al(NO3)5,,,,cr,415.2100,-,-1965.2,-,-,-,-,
K3Al(NO3)6,,,,cr,516.3169,-,-2533.8,-,-,-,-,
KAlCl4·6NH3,,,,cr,310.0797,-,-1994.5,-,-,-,-,
KAl2(PO4)2OH·2H2O,,,,cr,336.0460,-,-,-,49.37,294.68,320.20,
K3H6Al5(PO4)8·18H2O,,potassium taranakite,,cr,1342.3099,-18679.0,-18919.2,-17417.3,241.75,3496.2,1482.4,
KAlSiO4,,kaliophilite,,cr,158.1671,-,-2121.3,-2005.3,-,133.1,119.79,
KAlSi2O6,,leucite,,cr,218.2519,-,-3034.2,-2871.4,-,200.0,164.14,
KAlSi2O6,,,,vit,218.2519,-,-3058.1,-,-,-,-,
KAlSi3O8,,sanidine,,cr,278.3367,-3937.69,-3959.7,-3739.9,33.97,232.88,204.51,
KAlSi3O8,,microcline,,cr2,278.3367,-3946.06,-3968.1,-3742.9,33.97,214.22,202.38,
KAlSi3O8,,,,vit,278.3367,-,-3917.5,-,-,-,-,
KAl3Si3O10(OH)2,,muscovite,,cr,398.3133,-,-5984.4,-5608.4,-,306.3,-,
KZnF3,,,,cr,161.4672,-,-1379.5,-,-,-,-,
K2Zn(SO4)2,,,,cr,335.6972,-,-2434.3,-,-,-,-,
K2Zn(SO4)2·2H2O,,,,cr,371.7280,-,-3037.6,-,-,-,-,
K2Zn(SO4)2·6H2O,,,,cr,443.7896,-,-4234.2,-,-,-,-,
K2Zn(SO4)2·6D2O,,,,cr,455.8628,-,-4284.4,-,-,-,-,
KCl·ZnSO4,,,,cr,235.9866,-,-1447.7,-,-,-,-,
KBr·ZnSO4,,,,cr,280.4426,-,-1402.9,-,-,-,-,
KI·ZnSO4,,,,cr,327.4380,-,-1332.2,-,-,-,-,
K2Zn(CN)4,,,,cr,247.6456,-,-100.0,-,-,-,-,
K2Zn(CN)4,,,,ai,247.6456,-,-162.3,-119.6,-,431.,-,
K2Zn(CN)4,in 400 H2O,,,,247.6456,-,-162.3,-,-,-,-,
K2Zn(CNS)4,,,,ai,375.9016,-,-,-350.1,-,-,-,
KCdCl3,,,,cr,257.8610,-,-841.0,-,-,-,-,
KCdCl3,,,,ai,257.8610,-,-813.4,-770.2,-,305.4,-,
KCdCl3,in 400 H2O,,,,257.8610,-,-815.9,-,-,-,-,
KCdCl3·H2O,,,,cr,275.8764,-,-1139.7,-1010.8,-,251.,-,
KCl·3CdCl2·4H2O,,,,cr,696.5346,-,-2824.6,-2431.0,-,615.,-,
K4CdCl6,,,,cr,481.5260,-,-2181.5,-2006.5,-,389.,-,
KCdBr3,,,,ai,391.2290,-,-,-690.8,-,-,-,
KCdBr3·H2O,,,,cr,409.2444,-,-1012.9,-925.5,-,285.,-,
KBr·3CdBr2·4H2O,,,,cr,1007.7266,-,-2530.9,-2234.9,-,695.,-,
KCdI3,,,,ai,532.2152,-,-,-542.7,-,-,-,
KCdI3·H2O,,,,cr,550.2306,-,-830.1,-774.8,-,339.,-,
K2CdI4,,,,ai,698.2216,-,-846.4,-882.4,-,531.,-,
K2CdI4·2H2O,,,,cr,734.2524,-,-1450.6,-1344.6,-,523.,-,
K2Cd(SO4)2·1.5H2O,,,,cr,409.7503,-,-2816.04,-,-,-,-,
K2Cd(SO4)2·2CdSO4·5H2O,,,,cr,889.7274,-,-5752.2,-,-,-,-,
K3Hg,,,,g,317.8960,-,61.,-,-,-,-,
KHgCl3,,,,cr,346.0510,-,-671.1,-,-,-,-,
KHgCl3,,,,ai,346.0510,-,-641.0,-592.4,-,314.,-,
KHgCl3,in 450 H2O,,,,346.0510,-,-643.1,-,-,-,-,
KHgCl3·H2O,,,,cr,364.0664,-,-964.8,-,-,-,-,
K2HgCl4,,,,cr,420.6060,-,-1113.8,-,-,-,-,
K2HgCl4,,,,ai,420.6060,-,-1058.6,-1013.3,-,498.,-,
K2HgCl4,in 400 H2O,,,,420.6060,-,-1055.6,-,-,-,-,
K2HgCl4·H2O,,,,cr,438.6214,-,-1406.7,-,-,-,-,
KHgBr3,,,,cr,479.4190,-,-550.2,-,-,-,-,
KHgBr3,,,,ai,479.4190,-,-545.6,-542.7,-,360.,-,
KHgBr3,in 4000 H2O,,,,479.4190,-,-540.6,-,-,-,-,
KHgBr3·H2O,,,,cr,497.4344,-,-850.6,-,-,-,-,
K2HgBr4,,,,cr,598.4300,-,-963.6,-,-,-,-,
K2HgBr4,,,,ai,598.4300,-,-935.5,-937.6,-,515.,-,
K2HgBr4,in 600 H2O,,,,598.4300,-,-925.1,-,-,-,-,
K2HgBr4,in 4000 H2O,,,,598.4300,-,-926.3,-,-,-,-,
KHgI3,,,,cr,620.4052,-,-442.7,-,-,-,-,
KHgI3,,,,ai,620.4052,-,-405.0,-431.8,-,406.,-,
KHgI3·H2O,,,,cr,638.4206,-,-728.0,-,-,-,-,
K2HgI4,,,,cr,786.4116,-,-774.0,-,-,-,-,
K2HgI4,,,,ai,786.4116,-,-739.7,-778.2,-,565.,-,
K2HgI4,in 1000 H2O,,,,786.4116,-,-735.5,-,-,-,-,
KHg(CN)3,,,,ai,317.7457,-,144.8,180.0,-,327.6,-,
KHg(CN)3,in 500 H2O,,,,317.7457,-,146.0,-,-,-,-,
K2Hg(CN)4,,,,cr,382.8656,-,-32.2,-,-,-,-,
K2Hg(CN)4,,,,ai,382.8656,-,21.8,51.9,-,510.,-,
K2Hg(CN)4,in 600 H2O,,,,382.8656,-,27.2,-,-,-,-,
KCl·Hg(CN)2,,,,cr,327.1808,-,-179.9,-,-,-,-,
KCl·Hg(CN)2·H2O,,,,cr,345.1962,-,-473.6,-,-,-,-,
KBr·Hg(CN)2,,,,cr,371.6368,-,-148.5,-,-,-,-,
KBr·Hg(CN)2·1.5H2O,,,,cr,398.6599,-,-581.6,-,-,-,-,
KI·Hg(CN)2,,,,cr,418.6322,-,-91.6,-,-,-,-,
KI·Hg(CN)2·0.25H2O,,,,cr,423.1360,-,-164.4,-,-,-,-,
KCuF3,,,,cr,159.6372,-,-,-,22.539,147.86,119.12,
KCuCl3,,,,cr,209.0010,-,-671.5,-,-,-,-,
K2CuCl3,,,,cr,248.1030,-,-1016.7,-,-,-,-,
K2CuCl3,,,,ai,248.1030,-,-,-941.,-,-,-,
K2CuCl4,,,,cr,283.5560,-,-1110.9,-1010.4,-,270.7,-,
K2CuCl4,in 800 H2O,,,,283.5560,-,-1102.9,-,-,-,-,
K2CuCl4·2H2O,,,,cr,319.5868,-1694.06,-1707.1,-1492.7,50.141,355.43,253.232,
K2Cu(SO4)2,,,blue,cr,333.8672,-,-2209.6,-,-,-,-,
K2Cu(SO4)2,,,"white, prepared at 180·200°C",cr2,333.8672,-,-2223.8,-,-,-,-,
K2Cu(SO4)2,,,fused,cr3,333.8672,-,-2215.0,-,-,-,-,
K2Cu(SO4)2·0.5H2O,,,,cr,342.8749,-,-2361.4,-,-,-,-,
K2Cu(SO4)2·0.5D2O,,,,cr,343.8810,-,-2363.1,-,-,-,-,
K2Cu(SO4)2·2H2O,,,,cr,369.8980,-,-2826.7,-,-,-,-,
K2Cu(SO4)2·6H2O,,,,cr,441.9596,-,-4023.8,-,-,-,-,
K2Cu(CO3)2,,,"author's form 2, β",cr,261.7628,-,-1733.4,-,-,-,-,
K2Cu(CO3)2,,,"author's form 4, β",cr2,261.7628,-,-1741.8,-,-,-,-,
K2Cu(CO3)2,,,"author's form 5, α",cr3,261.7628,-,-1744.3,-,-,-,-,
K2Cu(HCO3)4,,,,cr,385.8136,-,-,-2913.9,-,-,-,
KCu(CN)2,,,,ai,154.6778,-,-25.5,-,-,-,-,
KCu(CN)2,in (CH3)2SO:s in dimethylsulfoxide,,,,154.6778,-,-80.8,-,-,-,-,
K2Cu(CN)3,,,,ai,219.7977,-,-,-162.7,-,-,-,
K3Cu(CN)4,,,,ai,284.9176,-,-,-283.2,-,-,-,
K3Cu(CN)4,in (CH3)2SO:s in dimethylsulfoxide,,,,284.9176,-,-348.5,-,-,-,-,
K3Cu(CNS)4,,,,ai,413.1736,-,-428.9,-485.7,-,950.,-,
KAgCl2,,,,cr,217.8780,-,-563.2,-,-,-,-,
KAgCl2,,,,ai,217.8780,-,-497.5,-498.7,-,333.9,-,
KAgBr2,,,,cr,306.7900,-,-492.5,-,-,-,-,
KAgBr2,,,,ai,306.7900,-,-,-455.6,-,-,-,
K2AgBr3,,,,ai,425.8010,-,-,-851.0,-,-,-,
K3AgBr4·0.5H2O,,,,cr,553.8197,-,-1418.4,-,-,-,-,
KAgI2,,,,cr,400.7808,-,-382.4,-,-,-,-,
KAgI2,,,,ai,400.7808,-,-,-370.3,-,-,-,
K2AgI3,,,,ai,566.7872,-,-686.6,-720.5,-,458.1,-,
K3AgI4,,,,cr,732.7936,-,-1041.8,-,-,-,-,
K3AgI4,,,,ai,732.7936,-,-,-1059.4,-,-,-,
K3AgI4·0.5H2O,,,,cr,741.8013,-,-1180.7,-,-,-,-,
K3Ag2I5·H2O,,,,cr,985.5834,-,-1391.2,-,-,-,-,
KAg(CN)2,,,,cr,199.0078,-,-16.7,-,-,-,-,
KAg(CN)2,,,,ai,199.0078,-,18.0,22.2,-,297.,-,
KAg(CN)2,in (CH3)2SO:s in dimethylsulfoxide,,,,199.0078,-,-2.5,-,-,-,-,
KNiF3,,,,cr,154.8072,-,-,-,22.217,163.2,154.22,
KNiCl3,,,,cr,204.1710,-,-750.19,-,-,-,-,
K2Ni(CN)4,,,,ai,240.9856,-,-136.8,-94.5,-,423.,-,
K2Ni(CN)4,,,,aq,240.9856,-,-128.4,-,-,-,-,
KCoF3,,,,cr,155.0304,-,-,-,23.723,176.6,120.50,
K(Co(NH3)2(NO2)4),,,,cr,316.1186,-,-969.9,-,-,-,-,
K(Co(NH3)2(NO2)4),,,,ai,316.1186,-,-911.7,-,-,-,-,
K(Co(NH3)2(NO2)4),in 30000 H2O,,,,316.1186,-,-914.62,-,-,-,-,
K2CO3·CoCO3,,,,cr,257.1560,-,-1875.3,-,-,-,-,
K2CO3·CoCO3·4H2O,,,,cr,329.2176,-,-3066.0,-,-,-,-,
K3(Co(C2O4)3),,oxalate,,cr,440.2992,-,-3181.,-,-,-,-,
K3(Co(C2O4)3),in 20000 H2O,,,,440.2992,-,-3147.,-,-,-,-,
K3(Co(C2O4)3)·3H2O,,,,cr,494.3454,-,-4079.,-,-,-,-,
K3Co(CN)6,,,,cr,332.3466,-,-,-,-,401.66,308.78,
K3Co(CN)6,,,,ai,332.3466,-,-,-,-,540.2,-,
K(Co(NH3)2(NO2)2C2O4),,,,cr,312.1276,-,-1535.5,-,-,-,-,
K(Co(NH3)2(NO2)2C2O4),in 18000 H2O,,,,312.1276,-,-1494.9,-,-,-,-,
K2FeO4,,,,ai,198.0486,-,-973.2,-,-,-,-,
KFeCl3,,,,g,201.3080,-,-501.,-,-,-,-,
KFeCl4,,,,cr,236.7610,-,-868.2,-,-,-,-,
KFeCl4,,,,g,236.7610,-,-691.,-,-,-,-,
K3Fe(CN)6,,,,cr,329.2604,-,-249.8,-129.6,-,426.06,-,
K3Fe(CN)6,,from Fe(CN)6<sup>3-</sup>,,ai,329.2604,-,-195.4,-120.4,-,577.8,-,
K3Fe(CN)6,in 400 H2O,,,,329.2604,-,-194.17,-,-,-,-,
K3Fe(CN)6,in 500 H2O,,,,329.2604,-,-194.05,-,-,-,-,
K3Fe(CN)6,in 800 H2O,,,,329.2604,-,-193.76,-,-,-,-,
K3Fe(CN)6,in 1000 H2O,,,,329.2604,-,-193.63,-,-,-,-,
K3Fe(CN)6,in 1500 H2O,,,,329.2604,-,-193.55,-,-,-,-,
K3Fe(CN)6,in 2000 H2O,,,,329.2604,-,-193.51,-,-,-,-,
K3Fe(CN)6,in 2500 H2O,,,,329.2604,-,-193.55,-,-,-,-,
K3Fe(CN)6,in 3000 H2O,,,,329.2604,-,-193.55,-,-,-,-,
